时间,源水浊度,源水pH,源水温度,源水氨氮,源水COD,源水有机物,混凝剂投加量,沉后浊度,滤后浊度,出水浊度,出水余氯,出水pH
2024-01-01 18:00:00,8.1,6.94,5.05,0.429,6.0,0.0856,10.0,0.67,0.11,0.061,0.88,6.67
2024-01-01 19:00:00,7.54,7.06,5.0,0.43,5.85,0.0856,10.04,0.64,0.17,0.094,1.55,7.27
2024-01-01 20:00:00,7.9,6.99,5.59,0.429,6.0,0.0857,10.16,0.67,0.22,0.135,2.0,6.67
2024-01-01 21:00:00,6.74,7.08,5.0,0.43,5.91,0.0856,11.27,0.63,0.1,0.068,0.92,7.04
2024-01-01 22:00:00,8.51,6.92,5.0,0.43,6.0,0.0857,12.1,0.7,0.13,0.055,1.28,7.38
2024-01-01 23:00:00,8.29,7.06,5.0,0.429,6.0,0.0858,15.36,0.7,0.21,0.096,1.43,6.99
2024-01-02 00:00:00,8.36,6.97,5.0,0.429,5.94,0.0859,10.0,0.67,0.2,0.085,0.96,7.47
2024-01-02 01:00:00,6.61,7.07,5.0,0.43,6.0,0.0859,10.0,0.67,0.1,0.068,0.88,6.68
2024-01-02 02:00:00,7.43,6.99,5.57,0.429,6.0,0.0859,10.0,0.7,0.1,0.053,1.15,6.6
2024-01-02 03:00:00,6.15,6.98,5.17,0.431,5.74,0.0858,13.65,0.64,0.16,0.095,1.16,6.5
2024-01-02 04:00:00,6.48,7.05,5.37,0.429,5.93,0.086,,0.64,0.23,0.128,,7.23
2024-01-02 05:00:00,8.08,6.95,7.68,0.43,,0.0857,12.81,0.65,0.11,0.079,1.23,6.5
2024-01-02 06:00:00,8.26,6.94,5.17,0.43,5.55,0.0857,10.0,0.71,0.29,0.169,1.39,7.48
2024-01-02 07:00:00,8.93,6.94,5.93,0.43,6.0,0.0858,10.01,0.67,0.27,0.212,1.3,7.52
2024-01-02 08:00:00,7.0,7.05,6.04,0.43,6.0,0.0859,10.0,0.67,0.19,0.112,1.07,7.08
2024-01-02 09:00:00,7.14,6.97,5.26,0.43,6.0,0.0857,10.0,0.67,0.26,0.143,0.71,6.76
2024-01-02 10:00:00,7.43,7.0,5.6,0.43,6.0,0.0858,10.65,0.66,0.14,0.05,1.29,6.5
2024-01-02 11:00:00,6.59,6.99,5.34,0.431,6.0,0.0859,12.14,0.62,0.16,0.08,0.92,7.12
2024-01-02 12:00:00,6.41,7.02,5.53,0.43,5.79,0.0859,11.48,0.65,0.2,0.095,1.05,7.0
2024-01-02 13:00:00,,6.99,5.0,0.43,5.86,0.086,14.6,0.66,0.1,0.059,1.15,7.07
2024-01-02 14:00:00,6.7,7.08,5.0,0.431,6.0,0.0858,10.13,0.63,0.21,0.099,1.39,7.16
2024-01-02 15:00:00,8.04,7.03,5.34,0.429,6.0,0.0858,11.26,0.71,0.27,0.123,1.46,6.67
2024-01-02 16:00:00,7.34,7.08,5.0,0.429,5.97,0.0859,10.57,0.66,0.18,0.144,1.21,6.93
2024-01-02 17:00:00,8.53,7.06,6.82,0.429,5.71,0.086,10.0,0.71,0.12,0.054,1.16,7.05
2024-01-02 18:00:00,8.13,7.09,7.48,0.43,5.81,0.0857,11.62,,0.1,0.073,1.38,7.68
2024-01-02 19:00:00,6.96,7.07,5.49,0.43,6.0,0.0859,10.0,0.63,0.1,0.074,0.89,7.24
2024-01-02 20:00:00,8.53,6.96,5.99,0.429,5.39,0.0858,14.23,0.66,0.11,0.05,0.94,7.04
2024-01-02 21:00:00,8.44,7.0,6.4,0.429,5.27,0.0857,10.0,0.68,0.24,0.119,1.59,
2024-01-02 22:00:00,7.19,7.11,5.0,0.429,,0.0858,10.0,0.63,0.1,0.067,1.59,7.38
2024-01-02 23:00:00,6.89,6.96,6.25,0.43,5.81,0.0859,10.0,0.69,0.27,0.132,0.62,7.51
2024-01-03 00:00:00,8.5,6.94,5.0,0.43,6.0,0.0861,11.57,0.67,0.22,0.072,1.0,6.55
2024-01-03 01:00:00,,6.94,7.66,0.431,6.0,0.086,10.0,0.63,0.2,0.111,1.43,6.5
2024-01-03 02:00:00,6.97,6.95,5.19,0.432,5.67,0.0861,10.49,0.68,,0.109,1.26,7.02
2024-01-03 03:00:00,6.36,6.92,6.28,0.431,5.47,0.0859,10.0,0.66,0.1,0.05,1.11,6.94
2024-01-03 04:00:00,8.83,7.0,5.2,0.431,5.89,0.0859,10.0,0.74,0.23,0.076,0.79,7.43
2024-01-03 05:00:00,8.44,6.93,7.57,0.432,5.76,0.0861,10.0,0.67,0.14,0.075,1.0,6.66
2024-01-03 06:00:00,8.57,6.93,5.0,0.431,5.96,0.0858,12.37,0.66,0.1,0.078,0.9,6.72
2024-01-03 07:00:00,8.81,7.05,6.54,0.431,6.0,0.0861,10.79,0.72,0.25,0.191,1.56,6.54
2024-01-03 08:00:00,7.79,6.94,6.0,0.431,6.0,0.0861,10.47,0.7,0.14,0.1,0.92,6.7
2024-01-03 09:00:00,8.14,6.96,5.78,0.431,5.98,0.0861,,0.67,0.19,0.092,1.19,7.05
2024-01-03 10:00:00,6.78,6.96,5.6,0.43,6.0,0.086,10.0,0.68,0.1,0.05,1.28,6.54
2024-01-03 11:00:00,6.7,6.94,5.0,0.43,6.0,0.0861,10.0,0.67,0.1,0.079,1.12,7.97
2024-01-03 12:00:00,8.45,7.04,5.0,0.431,5.92,0.0858,10.0,0.68,0.16,0.117,1.14,6.5
2024-01-03 13:00:00,7.83,7.03,6.45,0.432,6.0,0.086,10.15,0.69,0.1,0.05,0.77,6.84
2024-01-03 14:00:00,8.13,6.99,5.0,0.431,5.51,0.0859,10.7,0.65,0.18,0.094,1.03,7.07
2024-01-03 15:00:00,8.76,6.97,6.54,0.43,6.0,0.086,12.08,0.68,0.1,0.06,1.05,7.38
2024-01-03 16:00:00,8.35,6.94,5.73,0.431,5.98,0.086,10.57,0.66,0.17,0.103,0.97,6.69
2024-01-03 17:00:00,8.09,6.94,6.57,0.431,5.61,0.0859,12.83,0.67,0.14,0.087,1.57,6.5
2024-01-03 18:00:00,8.11,6.97,6.18,0.431,5.85,0.0858,11.52,0.66,0.13,0.101,1.73,6.69
2024-01-03 19:00:00,7.3,6.93,5.0,0.431,6.0,0.086,10.0,0.68,0.22,0.085,1.45,7.55
2024-01-03 20:00:00,6.43,7.08,5.99,0.43,5.74,0.0861,10.0,0.66,0.16,0.12,1.6,6.5
2024-01-03 21:00:00,7.72,6.93,5.03,0.43,6.0,0.086,10.0,0.65,0.1,0.05,0.96,7.31
2024-01-03 22:00:00,7.01,7.1,6.54,0.432,6.0,0.086,10.79,0.65,0.14,0.081,1.09,7.09
2024-01-03 23:00:00,7.63,7.0,5.97,0.43,5.98,0.0861,11.42,0.68,0.15,0.084,0.89,7.12
2024-01-04 00:00:00,9.52,7.1,6.03,0.432,5.71,0.0863,10.95,0.68,0.18,0.115,1.18,7.36
2024-01-04 01:00:00,7.45,7.0,5.16,0.431,5.95,0.0862,10.87,0.66,0.19,0.092,0.88,6.78
2024-01-04 02:00:00,6.87,7.04,5.0,0.433,5.54,0.0861,13.12,0.64,0.12,0.05,0.83,7.29
2024-01-04 03:00:00,7.61,7.1,5.0,0.431,5.82,0.0861,10.7,0.68,0.13,0.095,0.33,7.05
2024-01-04 04:00:00,7.65,6.99,5.0,0.432,5.63,0.086,11.38,0.7,0.24,0.092,1.29,6.61
2024-01-04 05:00:00,8.88,6.97,5.0,0.432,5.95,0.0863,14.19,0.7,0.11,0.05,1.5,6.97
2024-01-04 06:00:00,8.53,7.08,5.0,0.432,5.58,0.086,10.0,0.71,0.21,0.071,1.47,6.99
2024-01-04 07:00:00,9.29,6.98,5.0,0.432,5.99,0.0862,14.52,0.73,0.29,0.16,1.38,6.5
2024-01-04 08:00:00,8.89,7.08,5.54,0.43,6.0,0.0863,10.0,0.74,0.25,0.149,1.4,6.71
2024-01-04 09:00:00,8.03,7.09,5.96,0.431,6.0,0.0861,10.0,,0.12,0.07,1.06,7.15
2024-01-04 10:00:00,9.39,7.09,5.4,0.431,5.59,0.086,10.01,0.68,0.1,0.05,0.68,7.04
2024-01-04 11:00:00,7.23,7.0,5.0,0.432,5.77,0.0859,10.0,0.63,0.12,0.085,0.83,7.32
2024-01-04 12:00:00,6.75,6.96,5.0,0.432,6.0,0.0862,10.12,0.63,0.1,0.05,1.06,7.39
2024-01-04 13:00:00,6.97,7.0,5.11,0.431,6.0,0.086,10.4,0.63,0.17,0.138,0.5,6.73
2024-01-04 14:00:00,9.08,6.96,5.0,0.432,5.78,0.0859,12.53,0.71,0.17,0.082,1.32,6.78
2024-01-04 15:00:00,8.21,7.0,5.37,0.431,5.82,0.086,12.24,0.68,0.19,0.112,1.27,6.53
2024-01-04 16:00:00,7.21,6.96,5.0,0.431,5.99,0.0862,10.91,0.67,0.23,0.146,1.31,7.15
2024-01-04 17:00:00,8.34,6.93,6.13,0.431,5.42,0.0861,13.09,0.66,,0.063,1.42,6.84
2024-01-04 18:00:00,7.18,7.04,5.0,0.432,6.0,0.086,11.85,0.68,0.14,0.104,0.61,7.35
2024-01-04 19:00:00,9.0,7.08,5.8,0.43,6.0,0.0862,10.37,0.67,0.16,0.11,0.91,7.31
2024-01-04 20:00:00,8.16,7.09,6.32,0.432,5.85,0.0861,11.05,0.7,0.23,0.136,0.8,7.15
2024-01-04 21:00:00,7.94,7.0,5.76,0.432,5.54,0.0861,10.0,0.69,0.16,0.05,0.98,6.87
2024-01-04 22:00:00,7.68,7.01,6.23,0.432,6.0,0.0863,10.0,0.68,0.11,0.069,0.94,7.33
2024-01-04 23:00:00,8.77,7.08,5.0,0.431,6.0,0.0859,11.82,0.67,0.25,,0.5,7.0
2024-01-05 00:00:00,8.3,6.95,5.0,0.433,6.0,0.0863,10.0,0.7,0.1,0.071,1.36,7.07
2024-01-05 01:00:00,7.34,6.93,6.59,0.433,5.56,0.0861,10.23,0.69,0.2,0.116,1.55,6.5
2024-01-05 02:00:00,7.45,7.07,6.0,0.432,5.57,0.0861,10.0,0.69,0.13,0.062,0.93,7.11
2024-01-05 03:00:00,10.41,7.08,7.33,0.432,6.0,0.0863,11.53,0.7,0.17,0.083,0.96,7.01
2024-01-05 04:00:00,10.23,7.07,7.19,0.432,6.0,0.0863,10.0,0.71,0.28,0.135,1.4,6.97
2024-01-05 05:00:00,,7.04,5.79,0.432,5.62,0.0863,12.29,0.74,0.21,0.133,1.13,6.82
2024-01-05 06:00:00,7.97,6.95,5.23,0.432,5.93,0.0865,10.32,0.66,0.2,0.129,1.32,6.54
2024-01-05 07:00:00,10.44,7.0,5.0,0.433,5.48,0.0864,11.14,0.76,0.22,0.133,0.85,6.98
2024-01-05 08:00:00,9.77,7.1,5.01,0.432,5.75,0.0861,11.33,0.76,0.24,0.163,1.33,6.5
2024-01-05 09:00:00,9.55,7.02,,0.433,5.88,0.0863,10.0,0.7,0.16,0.088,1.27,6.93
2024-01-05 10:00:00,8.61,7.1,5.0,0.432,6.0,0.0863,10.0,0.66,0.1,0.057,1.01,6.83
2024-01-05 11:00:00,7.99,7.04,5.0,0.433,5.33,0.0863,10.0,0.68,0.25,0.182,1.14,7.39
2024-01-05 12:00:00,7.37,7.04,5.89,0.434,6.0,0.0862,10.36,,0.18,0.097,,7.56
2024-01-05 13:00:00,10.21,6.99,7.18,0.432,5.91,0.0865,10.22,0.73,0.27,0.123,1.07,6.54
2024-01-05 14:00:00,8.63,7.01,6.42,0.431,6.0,0.0862,11.83,0.68,0.22,0.111,1.16,7.23
2024-01-05 15:00:00,7.74,6.95,5.16,0.432,6.0,0.0864,10.0,0.67,0.22,0.094,1.02,6.8
2024-01-05 16:00:00,8.11,7.11,6.5,0.432,6.0,0.0863,10.0,0.66,0.19,0.08,0.89,6.86
2024-01-05 17:00:00,9.07,6.97,5.83,0.433,6.0,0.0864,14.82,0.68,0.26,0.159,1.56,6.85
2024-01-05 18:00:00,7.65,7.11,5.45,0.433,5.73,0.0862,10.0,0.66,0.22,0.069,1.52,7.39
2024-01-05 19:00:00,10.04,7.06,5.38,,6.0,0.086,10.0,0.69,0.16,0.072,1.16,6.96
2024-01-05 20:00:00,9.7,6.95,5.29,0.434,5.66,0.0863,11.15,0.76,0.14,0.086,1.26,7.13
2024-01-05 21:00:00,9.56,6.98,6.14,0.432,5.93,0.0863,12.7,0.7,0.15,0.062,0.61,6.5
2024-01-05 22:00:00,8.55,7.08,5.63,0.432,6.0,0.0861,12.19,0.67,0.1,0.083,,6.66
2024-01-05 23:00:00,9.24,7.02,,0.432,6.0,0.0863,10.0,0.72,0.12,0.076,1.01,6.83
2024-01-06 00:00:00,9.58,6.98,5.0,0.434,5.84,0.0866,10.15,0.71,0.11,0.065,0.83,7.0
2024-01-06 01:00:00,9.82,6.94,5.85,0.432,5.59,0.0866,10.57,0.76,0.1,0.057,1.45,7.2
2024-01-06 02:00:00,7.73,7.0,5.98,0.432,5.98,0.0864,11.32,0.64,0.14,0.096,0.96,6.82
2024-01-06 03:00:00,8.96,7.11,5.23,0.435,5.7,0.0864,11.11,0.7,0.23,0.149,0.79,7.42
2024-01-06 04:00:00,7.57,7.02,5.0,0.433,5.78,0.0866,10.0,0.65,0.1,0.072,1.75,6.92
2024-01-06 05:00:00,9.24,7.09,6.8,0.432,6.0,0.0867,10.07,0.72,0.21,0.091,1.7,6.79
2024-01-06 06:00:00,8.64,7.11,6.59,0.433,6.0,0.0862,10.4,0.7,0.27,0.141,1.37,7.26
2024-01-06 07:00:00,7.95,7.0,5.0,0.432,6.0,0.0862,13.72,0.66,0.16,0.089,0.57,7.21
2024-01-06 08:00:00,7.8,6.97,6.89,0.432,5.86,0.0862,10.36,0.68,0.12,0.059,1.59,6.5
2024-01-06 09:00:00,9.59,7.11,5.34,0.433,6.0,0.0864,17.79,0.74,0.21,0.091,1.58,7.47
2024-01-06 10:00:00,8.05,6.97,5.74,0.433,5.96,0.0866,10.24,0.72,0.22,0.067,0.63,6.84
2024-01-06 11:00:00,10.84,6.98,6.69,0.434,5.87,0.0862,10.0,0.72,0.13,0.066,0.47,6.93
2024-01-06 12:00:00,9.57,6.97,7.2,0.433,5.63,0.0865,11.87,0.68,0.15,0.079,0.98,6.73
2024-01-06 13:00:00,8.7,7.07,6.55,0.434,5.33,0.0862,13.04,0.7,0.27,0.188,1.26,6.87
2024-01-06 14:00:00,9.6,7.04,5.79,0.434,,0.0862,12.13,0.7,0.18,0.116,1.58,6.5
2024-01-06 15:00:00,7.5,7.09,5.0,0.434,6.0,0.0865,11.03,0.69,0.27,0.128,0.58,7.09
2024-01-06 16:00:00,10.97,7.07,5.0,0.435,5.68,0.0865,10.77,0.77,0.2,0.131,1.69,6.81
2024-01-06 17:00:00,9.2,7.06,6.43,0.433,5.46,0.0863,10.51,0.68,0.1,0.05,0.65,6.9
2024-01-06 18:00:00,10.32,7.06,6.89,0.432,5.83,0.0863,10.0,0.73,0.25,0.111,1.41,7.29
2024-01-06 19:00:00,7.72,7.08,5.0,0.432,6.0,0.0863,12.42,0.64,0.23,0.107,1.14,7.13
2024-01-06 20:00:00,9.22,7.08,5.28,0.432,6.0,0.0867,10.32,0.73,0.1,0.05,1.53,6.99
2024-01-06 21:00:00,9.23,6.95,5.0,0.434,5.95,0.0866,13.38,0.71,0.12,0.089,1.26,7.59
2024-01-06 22:00:00,10.89,6.97,5.0,0.433,5.94,0.0864,10.45,0.79,0.19,0.096,1.13,6.64
2024-01-06 23:00:00,9.53,7.05,,0.432,5.79,0.0867,11.06,0.7,0.26,0.119,1.35,7.01
2024-01-07 00:00:00,9.67,6.94,5.83,0.433,6.0,0.0866,13.7,0.73,0.27,0.179,0.91,7.38
2024-01-07 01:00:00,8.86,7.07,5.38,0.436,5.9,0.0863,13.66,0.71,0.21,0.118,1.11,7.45
2024-01-07 02:00:00,9.11,7.04,8.27,0.434,5.93,0.0866,12.74,0.71,0.23,0.173,0.75,6.55
2024-01-07 03:00:00,9.85,6.96,5.0,0.433,6.0,0.0868,10.0,0.71,0.1,0.066,1.37,6.77
2024-01-07 04:00:00,9.53,7.04,6.16,0.436,6.0,0.0867,10.0,0.7,0.19,0.142,1.5,7.34
2024-01-07 05:00:00,7.9,7.07,5.0,0.435,5.9,0.0869,12.15,0.66,0.22,0.146,1.29,6.86
2024-01-07 06:00:00,11.05,7.05,5.45,0.434,5.85,0.0866,10.15,0.77,0.13,0.09,1.22,7.01
2024-01-07 07:00:00,11.32,7.02,5.76,0.434,5.85,0.0869,11.77,0.78,0.11,0.055,1.06,6.85
2024-01-07 08:00:00,8.37,7.0,6.46,0.435,5.34,0.0868,11.28,0.7,0.2,0.069,1.87,6.99
2024-01-07 09:00:00,9.98,7.04,5.35,0.434,6.0,0.0868,11.79,0.77,0.29,0.156,1.14,6.5
2024-01-07 10:00:00,8.24,7.04,5.24,0.436,5.75,0.0869,10.0,0.67,0.26,0.151,0.68,6.88
2024-01-07 11:00:00,10.45,7.07,5.33,0.435,6.0,0.0865,13.44,0.7,0.16,0.068,1.32,6.98
2024-01-07 12:00:00,8.92,7.02,5.0,0.435,5.96,0.0867,10.0,0.67,0.16,0.066,1.17,6.86
2024-01-07 13:00:00,10.4,7.08,6.24,0.435,6.0,0.0864,12.56,0.7,0.2,0.098,1.77,7.03
2024-01-07 14:00:00,10.66,6.95,5.89,0.436,6.0,0.0868,11.04,0.72,0.1,0.051,1.15,6.6
2024-01-07 15:00:00,10.82,6.98,6.05,0.432,6.0,0.0866,15.33,0.7,0.18,0.112,0.74,7.08
2024-01-07 16:00:00,8.24,7.04,5.54,0.432,5.77,0.0864,13.73,0.72,0.21,0.092,1.66,7.49
2024-01-07 17:00:00,11.4,6.98,5.42,0.435,5.57,0.0865,15.9,0.74,0.1,0.05,1.24,7.39
2024-01-07 18:00:00,8.72,7.12,6.79,0.433,6.0,0.0864,14.26,0.73,0.25,0.119,0.98,7.21
2024-01-07 19:00:00,7.96,7.05,6.63,0.435,5.38,0.0866,10.49,0.67,0.17,0.072,1.83,7.08
2024-01-07 20:00:00,9.99,7.04,7.03,0.434,5.81,0.0863,10.21,0.73,0.26,0.16,1.14,6.79
2024-01-07 21:00:00,9.27,,5.98,0.434,5.59,0.0869,10.0,0.72,0.19,0.093,0.98,6.85
2024-01-07 22:00:00,11.06,6.98,6.96,0.433,5.7,0.0867,12.09,0.74,0.14,0.084,1.44,7.26
2024-01-07 23:00:00,10.98,6.94,5.2,0.435,6.0,0.0869,11.58,0.73,0.16,0.075,1.44,6.96
2024-01-08 00:00:00,9.55,7.05,5.48,0.434,6.0,0.0865,11.08,0.73,0.28,0.165,1.43,7.63
2024-01-08 01:00:00,12.17,7.06,6.88,0.434,5.9,0.0867,10.18,0.82,0.19,0.058,1.55,6.5
2024-01-08 02:00:00,9.44,7.01,6.52,0.435,,0.0871,11.86,0.73,0.19,0.111,0.58,6.94
2024-01-08 03:00:00,10.37,7.07,5.39,0.434,5.78,0.0869,10.61,0.73,0.24,0.077,1.4,6.83
2024-01-08 04:00:00,9.3,7.1,5.0,0.436,6.0,0.0865,10.14,0.73,0.25,0.172,1.17,7.23
2024-01-08 05:00:00,12.1,6.94,5.48,0.437,6.0,0.087,12.15,0.79,0.3,0.223,1.19,7.3
2024-01-08 06:00:00,8.92,6.97,5.0,0.436,5.77,0.0865,10.85,0.7,0.22,0.122,1.0,6.61
2024-01-08 07:00:00,8.43,6.94,7.4,0.436,6.0,0.0866,10.0,0.72,0.14,0.05,1.02,6.6
2024-01-08 08:00:00,10.04,7.08,6.44,0.435,6.0,0.0869,10.0,0.73,,0.05,1.08,6.77
2024-01-08 09:00:00,12.33,7.12,5.0,0.437,5.71,0.0869,12.95,0.77,0.18,0.065,1.19,7.16
2024-01-08 10:00:00,11.92,7.04,5.0,0.437,5.52,0.0869,11.68,0.79,0.1,0.05,0.49,7.13
2024-01-08 11:00:00,11.33,6.95,5.0,0.437,5.58,0.0864,10.0,0.75,0.28,0.174,1.37,6.51
2024-01-08 12:00:00,11.92,7.1,5.12,0.434,5.74,0.0866,13.17,0.75,0.29,0.186,1.44,7.09
2024-01-08 13:00:00,11.93,7.1,5.51,0.434,5.93,0.0867,11.68,0.77,0.2,0.121,1.29,7.05
2024-01-08 14:00:00,10.38,7.11,,0.434,5.46,0.0867,10.0,0.77,0.1,0.05,1.33,6.98
2024-01-08 15:00:00,9.55,6.98,5.0,0.434,5.82,0.0865,10.0,0.71,0.13,0.053,1.44,7.18
2024-01-08 16:00:00,11.43,6.97,7.97,0.433,5.88,0.0869,11.98,0.81,0.17,0.079,1.22,7.07
2024-01-08 17:00:00,,6.99,,0.437,6.0,0.087,10.0,0.78,0.17,0.085,1.81,7.02
2024-01-08 18:00:00,9.78,7.11,5.0,0.434,6.0,0.0871,12.07,0.72,0.22,0.093,1.15,7.35
2024-01-08 19:00:00,8.63,6.98,7.37,0.434,6.0,0.087,12.9,0.68,0.27,0.2,1.44,7.46
2024-01-08 20:00:00,11.32,7.04,7.0,0.437,6.0,0.0866,13.4,0.77,0.1,0.05,0.88,6.88
2024-01-08 21:00:00,9.33,,5.5,0.437,6.0,0.0868,13.42,0.75,0.29,0.158,1.11,6.98
2024-01-08 22:00:00,12.1,7.07,6.06,0.434,6.0,,10.26,0.76,0.29,0.222,1.48,7.2
2024-01-08 23:00:00,9.24,7.03,6.09,0.434,5.65,0.0865,13.15,0.68,0.24,0.194,1.1,6.94
2024-01-09 00:00:00,9.22,7.06,5.89,0.438,5.74,0.0867,11.63,0.68,0.16,0.072,0.98,7.21
2024-01-09 01:00:00,12.3,6.94,5.0,0.438,5.51,0.0868,10.2,0.78,0.17,0.104,1.25,7.04
2024-01-09 02:00:00,9.36,7.03,,0.437,5.99,0.087,12.05,0.71,0.17,0.121,1.16,7.23
2024-01-09 03:00:00,9.47,7.05,5.0,0.436,6.0,0.0873,12.02,0.71,0.21,0.088,0.87,7.2
2024-01-09 04:00:00,11.3,7.0,7.57,0.437,6.0,0.0869,14.7,0.75,0.13,0.078,1.04,6.97
2024-01-09 05:00:00,12.49,7.0,7.61,0.438,6.0,0.087,14.32,0.79,0.17,0.136,1.22,7.27
2024-01-09 06:00:00,9.54,7.12,5.49,0.435,6.0,0.0871,10.0,0.7,0.27,0.202,,7.21
2024-01-09 07:00:00,10.04,7.01,5.0,0.436,6.0,0.0872,11.97,0.72,0.1,0.074,1.16,7.7
2024-01-09 08:00:00,12.07,7.08,6.03,0.438,5.63,0.0868,12.47,0.76,0.12,0.074,0.88,6.5
2024-01-09 09:00:00,12.91,7.05,6.19,0.437,5.78,0.0871,12.53,0.79,0.1,0.061,1.07,
2024-01-09 10:00:00,10.87,6.99,6.35,0.435,,0.0873,10.89,0.74,0.21,0.086,0.77,7.31
2024-01-09 11:00:00,9.32,7.02,5.0,0.437,5.73,0.0873,14.62,0.72,0.18,0.13,1.04,7.67
2024-01-09 12:00:00,8.75,,8.91,0.437,5.87,0.0869,10.0,0.71,,0.068,1.69,6.85
2024-01-09 13:00:00,9.69,7.09,6.88,0.435,6.0,0.0867,14.54,0.71,0.17,0.087,0.84,7.03
2024-01-09 14:00:00,9.26,7.03,5.55,0.436,5.9,0.0873,10.0,0.73,0.12,0.084,0.95,6.86
2024-01-09 15:00:00,11.64,7.06,5.03,0.435,5.94,0.0873,10.94,0.8,0.24,0.1,1.04,7.53
2024-01-09 16:00:00,9.22,6.95,6.74,0.439,5.66,0.0866,12.61,0.73,0.25,0.181,0.51,6.77
2024-01-09 17:00:00,10.89,7.02,6.25,0.435,6.0,0.0866,10.0,0.77,0.1,0.062,0.63,6.85
2024-01-09 18:00:00,11.71,6.96,5.84,0.438,6.0,0.0867,10.25,0.79,0.26,0.083,1.31,6.56
2024-01-09 19:00:00,11.22,7.05,6.21,0.436,5.71,0.0871,12.66,0.74,0.17,0.082,0.97,6.5
2024-01-09 20:00:00,9.56,6.97,5.64,0.438,5.55,0.0868,10.0,0.75,0.19,,1.69,7.0
2024-01-09 21:00:00,12.19,7.11,6.15,0.438,6.0,0.0868,14.05,,0.17,0.115,0.87,6.97
2024-01-09 22:00:00,11.8,7.07,6.48,0.438,6.0,0.0872,14.7,0.74,0.23,0.113,1.7,6.93
2024-01-09 23:00:00,11.9,7.11,6.1,0.438,6.0,0.0868,14.81,0.74,0.23,0.096,0.62,7.18
2024-01-10 00:00:00,9.76,7.12,6.12,0.437,5.83,0.0875,11.87,0.72,0.2,0.077,1.1,7.23
2024-01-10 01:00:00,9.73,6.95,7.22,0.436,6.0,0.0871,10.36,0.74,0.12,0.098,0.88,6.79
2024-01-10 02:00:00,13.41,6.99,5.0,0.437,6.0,0.0871,11.43,0.77,0.17,0.082,1.38,7.02
2024-01-10 03:00:00,10.98,7.01,5.03,0.438,5.87,0.0875,12.11,0.79,0.27,0.137,0.95,6.97
2024-01-10 04:00:00,10.54,7.03,5.85,0.437,6.0,0.0868,11.68,0.75,0.15,0.056,0.98,7.0
2024-01-10 05:00:00,11.4,7.02,5.1,0.437,5.69,0.0868,10.88,0.8,0.3,0.147,1.11,7.45
2024-01-10 06:00:00,12.2,7.01,5.43,0.435,5.73,0.0871,15.01,0.79,0.15,,,7.12
2024-01-10 07:00:00,13.54,6.97,7.11,0.439,6.0,0.0872,11.7,0.82,0.22,0.119,1.56,7.31
2024-01-10 08:00:00,10.47,7.01,5.68,0.435,5.97,0.0872,14.28,0.78,0.22,0.144,1.01,6.94
